DATETIME,price
2024-11-04,22.52
2024-11-05,22.37
2024-11-06,22.45
2024-11-07,22.48
2024-11-08,22.67
2024-11-11,22.68
2024-11-12,22.89
2024-11-13,22.7
2024-11-14,22.8
2024-11-15,22.71
2024-11-18,22.8
2024-11-19,22.81
2024-11-20,22.52
2024-11-21,22.73
2024-11-22,22.7
2024-11-25,22.7
2024-11-26,22.81
2024-11-27,23.03
2024-11-28,22.95
2024-11-29,23.06
2024-12-02,23.2
2024-12-03,23.2
2024-12-04,23.07
2024-12-06,22.83
2024-12-09,22.71
2024-12-11,22.49
2024-12-12,22.37
2024-12-13,22.43
2024-12-16,22.33
2024-12-17,22.39
2024-12-18,22.54
2024-12-19,22.21
2024-12-20,22.31
2024-12-23,22.06
2024-12-24,21.93
2024-12-25,21.93
2024-12-26,21.94
2024-12-27,21.79
2024-12-30,21.75
2025-01-02,22.02
2025-01-03,22.09
2025-01-06,22.09
2025-01-07,22.07
2025-01-08,22.08
2025-01-09,22.08
2025-01-10,22.09
2025-01-13,22.32
2025-01-14,22.15
2025-01-15,22.26
2025-01-16,22.31
2025-01-17,22.26
2025-01-20,22.13
2025-01-21,22.03
2025-01-22,21.88
2025-01-23,21.89
2025-01-24,21.77
2025-01-27,21.88
2025-01-28,21.93
2025-01-29,21.88
2025-01-30,21.97
2025-01-31,21.86
2025-02-03,22.05
2025-02-04,21.93
2025-02-05,22.09
2025-02-06,22.29
2025-02-07,22.29
2025-02-10,22.42
2025-02-11,22.58
2025-02-13,22.07
2025-02-14,22.14
2025-02-17,22.37
2025-02-18,22.28
2025-02-19,22.32
2025-02-20,22.51
2025-02-21,22.44
2025-02-24,22.53
2025-02-25,22.58
2025-02-26,22.74
2025-02-27,22.76
2025-02-28,22.8
2025-03-03,22.93
2025-03-04,22.8
2025-03-05,22.62
2025-03-06,22.88
2025-03-07,22.9
2025-03-10,23.09
2025-03-11,23.03
2025-03-12,22.86
2025-03-13,22.97
2025-03-14,22.69
2025-03-17,22.67
2025-03-18,22.54
2025-03-19,22.57
2025-03-20,22.79
2025-03-21,22.75
2025-03-24,22.74
2025-03-25,22.67
2025-03-26,22.7
2025-03-27,22.6
2025-03-28,22.59
2025-03-31,22.86
2025-04-01,22.84
2025-04-02,22.93
2025-04-03,23.43
2025-04-04,23.5
2025-04-08,23.7
2025-04-09,23.81
2025-04-10,23.45
2025-04-11,23.67
2025-04-16,23.33
2025-04-17,23.36
2025-04-18,23.53
2025-04-21,23.59
2025-04-22,23.67
2025-04-23,23.62
2025-04-24,23.53
2025-04-25,23.41
2025-04-28,23.5
2025-04-29,23.45
2025-04-30,23.4
2025-05-02,22.9
2025-05-06,22.83
2025-05-07,22.82
2025-05-08,22.72
2025-05-09,22.8
2025-05-13,22.51
2025-05-14,22.81
2025-05-15,22.92
2025-05-16,22.92
2025-05-19,22.86
2025-05-20,22.91
2025-05-21,22.76
2025-05-22,22.9
2025-05-23,22.8
2025-05-26,22.8
2025-05-27,22.75
2025-05-28,22.68
2025-05-29,22.55
2025-05-30,22.8
2025-06-04,22.76
2025-06-05,22.75
2025-06-06,22.66
2025-06-09,22.7
2025-06-10,22.62
2025-06-11,22.51
2025-06-12,22.61
2025-06-13,22.55
2025-06-16,22.49
2025-06-17,22.45
2025-06-18,22.51
2025-06-19,22.6
2025-06-20,22.61
2025-06-23,22.4
2025-06-24,22.52
2025-06-25,22.41
2025-06-26,22.55
